Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield
2018-11-30,3.8510000705718994,66.0697021484375,69.91999816894531,6.941500186920166,13.65310001373291,1.1392766237258911,113.41100311279297,1.2784454822540283,1.3274999856948853,97.2699966430664,50.93000030517578,1220.199951171875,,,,
2018-12-01,,,,,,,,,,,,,2.27,252.767,14407.5,2.83
2018-12-31,3.8742001056671143,69.52120208740234,69.92250061035156,6.877200126647949,14.415300369262695,1.1439945697784424,110.33000183105469,1.269357681274414,1.3622000217437744,96.16999816894531,45.40999984741211,1278.300048828125,,,,
2019-01-01,,,,,,,,,,,,,2.4,252.561,14471.5,2.71
2019-01-31,3.6814000606536865,65.41439819335938,71.12000274658203,6.7154998779296875,13.327899932861328,1.1487650871276855,108.98100280761719,1.3117163181304932,1.3141000270843506,95.58000183105469,53.790000915527344,1319.699951171875,,,,
2019-02-01,,,,,,,,,,,,,2.4,253.319,14506.7,2.68
2019-02-28,3.727299928665161,65.72579956054688,71.19000244140625,6.686200141906738,13.916600227355957,1.1380189657211304,110.86199951171875,1.3318239450454712,1.3144999742507935,96.16000366210938,57.220001220703125,1312.800048828125,,,,
2019-03-01,,,,,,,,,,,,,2.41,254.277,14550.5,2.57
2019-03-31,3.897700071334839,64.90869903564453,69.5,6.738100051879883,14.584600448608398,1.1230024099349976,110.63700103759766,1.30565345287323,1.3430500030517578,97.27999877929688,60.13999938964844,1293.0,,,,
2019-04-01,,,,,,,,,,,,,2.42,255.233,14579.0,2.53
2019-04-30,3.9442999362945557,64.43180084228516,69.81179809570312,6.732399940490723,14.307499885559082,1.1185182332992554,111.677001953125,1.2932428121566772,1.3454699516296387,97.4800033569336,63.90999984741211,1282.800048828125,,,,
2019-05-01,,,,,,,,,,,,,2.39,255.296,14678.3,2.4
2019-05-31,3.9800000190734863,65.21389770507812,69.9800033569336,6.900899887084961,14.769000053405762,1.1131147146224976,109.35700225830078,1.2609704732894897,1.352489948272705,97.75,53.5,1305.800048828125,,,,
2019-06-01,,,,,,,,,,,,,2.38,255.213,14798.6,2.07
2019-06-30,3.815999984741211,63.05739974975586,69.32499694824219,6.867099761962891,14.157899856567383,1.1372941732406616,107.74700164794922,1.267748475074768,1.3094300031661987,96.12999725341797,58.470001220703125,1409.699951171875,,,,
2019-07-01,,,,,,,,,,,,,2.4,255.802,14881.8,2.06
